Source,Type,Target,Weight
Андрей Бабичев ,Undirected,Валя,1
Андрей Бабичев ,Undirected,Витя,1
Андрей Бабичев ,Undirected,Дамочка в зеленом,1
Андрей Бабичев ,Undirected,Зиночка,1
Андрей Бабичев ,Undirected,Зрители,1
Андрей Бабичев ,Undirected,Иван Бабичев,1
Андрей Бабичев ,Undirected,Менее пьяный гость,1
Андрей Бабичев ,Undirected,Михал Михалыч,1
Андрей Бабичев ,Undirected,Немец Харман,1
Андрей Бабичев ,Undirected,Николай Кавалеров,1
Андрей Бабичев ,Undirected,Почтенный старик,1
Андрей Бабичев ,Undirected,Представители союза пищевиков,1
Андрей Бабичев ,Undirected,Сильно пьяный гость,1
Андрей Бабичев ,Undirected,Футболисты,1
Андрей Бабичев ,Undirected,Шапиро,1
Андрей Бабичев,Undirected,Валя,3
Андрей Бабичев,Undirected,Витя,1
Андрей Бабичев,Undirected,Гарри,1
Андрей Бабичев,Undirected,Дамочка в зеленом,1
Андрей Бабичев,Undirected,Зиночка,1
Андрей Бабичев,Undirected,Иван Бабичев,2
Андрей Бабичев,Undirected,Кавалеров,1
Андрей Бабичев,Undirected,Менее пьяный гость,1
Андрей Бабичев,Undirected,Михал Михалыч,1
Андрей Бабичев,Undirected,Николай Кавалеров,2
Андрей Бабичев,Undirected,Почтенный старик,1
Андрей Бабичев,Undirected,Сильно пьяный гость,1
Андрей Бабичев,Undirected,Соломон Шапиро,1
Андрей Бабичев,Undirected,Хозяйка,1
Анечка Прокопович,Undirected,Валя,1
Анечка Прокопович,Undirected,Врач,1
Анечка Прокопович,Undirected,Иван Бабичев,1
Анечка Прокопович,Undirected,Николай Кавалеров,1
Валя,Undirected,Витя,1
Валя,Undirected,Врач,1
Валя,Undirected,Дамочка в зеленом,1
Валя,Undirected,Зиночка,1
Валя,Undirected,Зрители,1
Валя,Undirected,Иван Бабичев,3
Валя,Undirected,Кавалеров,1
Валя,Undirected,Менее пьяный гость,1
Валя,Undirected,Михал Михалыч,1
Валя,Undirected,Немец Харман,1
Валя,Undirected,Николай Кавалеров,3
Валя,Undirected,Почтенный старик,1
Валя,Undirected,Представители союза пищевиков,1
Валя,Undirected,Сильно пьяный гость,1
Валя,Undirected,Соломон Шапиро,1
Валя,Undirected,Футболисты,1
Валя,Undirected,Шапиро,1
Витя,Undirected,Гарри,1
Витя,Undirected,Дамочка в зеленом,2
Витя,Undirected,Зиночка,2
Витя,Undirected,Зрители,1
Витя,Undirected,Иван Бабичев,2
Витя,Undirected,Менее пьяный гость,2
Витя,Undirected,Михал Михалыч,2
Витя,Undirected,Немец Харман,1
Витя,Undirected,Николай Кавалеров,2
Витя,Undirected,Почтенный старик,2
Витя,Undirected,Представители союза пищевиков,1
Витя,Undirected,Сильно пьяный гость,2
Витя,Undirected,Футболисты,1
Витя,Undirected,Хозяйка,1
Витя,Undirected,Шапиро,1
Врач,Undirected,Иван Бабичев,1
Врач,Undirected,Николай Кавалеров,1
Второй жилец,Undirected,Иван Бабичев,1
Второй жилец,Undirected,Лизавета Ивановна,1
Второй жилец,Undirected,Молодой человек,1
Второй жилец,Undirected,Муж,1
Второй жилец,Undirected,Первый жилец,1
Второй жилец,Undirected,Третий жилец,1
Гарри,Undirected,Дамочка в зеленом,1
Гарри,Undirected,Зиночка,1
Гарри,Undirected,Иван Бабичев,1
Гарри,Undirected,Менее пьяный гость,1
Гарри,Undirected,Михал Михалыч,1
Гарри,Undirected,Николай Кавалеров,1
Гарри,Undirected,Почтенный старик,1
Гарри,Undirected,Сильно пьяный гость,1
Гарри,Undirected,Хозяйка,1
Дамочка в зеленом,Undirected,Зиночка,2
Дамочка в зеленом,Undirected,Зрители,1
Дамочка в зеленом,Undirected,Иван Бабичев,2
Дамочка в зеленом,Undirected,Менее пьяный гость,2
Дамочка в зеленом,Undirected,Михал Михалыч,2
Дамочка в зеленом,Undirected,Немец Харман,1
Дамочка в зеленом,Undirected,Николай Кавалеров,2
Дамочка в зеленом,Undirected,Почтенный старик,2
Дамочка в зеленом,Undirected,Представители союза пищевиков,1
Дамочка в зеленом,Undirected,Сильно пьяный гость,2
Дамочка в зеленом,Undirected,Футболисты,1
Дамочка в зеленом,Undirected,Хозяйка,1
Дамочка в зеленом,Undirected,Шапиро,1
Зиночка,Undirected,Зрители,1
Зиночка,Undirected,Иван Бабичев,2
Зиночка,Undirected,Менее пьяный гость,2
Зиночка,Undirected,Михал Михалыч,2
Зиночка,Undirected,Немец Харман,1
Зиночка,Undirected,Николай Кавалеров,2
Зиночка,Undirected,Почтенный старик,2
Зиночка,Undirected,Представители союза пищевиков,1
Зиночка,Undirected,Сильно пьяный гость,2
Зиночка,Undirected,Футболисты,1
Зиночка,Undirected,Хозяйка,1
Зиночка,Undirected,Шапиро,1
Зрители,Undirected,Иван Бабичев,1
Зрители,Undirected,Менее пьяный гость,1
Зрители,Undirected,Михал Михалыч,1
Зрители,Undirected,Немец Харман,1
Зрители,Undirected,Николай Кавалеров,1
Зрители,Undirected,Почтенный старик,1
Зрители,Undirected,Представители союза пищевиков,1
Зрители,Undirected,Сильно пьяный гость,1
Зрители,Undirected,Футболисты,1
Зрители,Undirected,Шапиро,1
Иван Бабичев,Undirected,Лизавета Ивановна,1
Иван Бабичев,Undirected,Менее пьяный гость,2
Иван Бабичев,Undirected,Михал Михалыч,2
Иван Бабичев,Undirected,Молодой человек,1
Иван Бабичев,Undirected,Муж,1
Иван Бабичев,Undirected,Немец Харман,1
Иван Бабичев,Undirected,Николай Кавалеров,3
Иван Бабичев,Undirected,Первый жилец,1
Иван Бабичев,Undirected,Почтенный старик,2
Иван Бабичев,Undirected,Представители союза пищевиков,1
Иван Бабичев,Undirected,Сильно пьяный гость,2
Иван Бабичев,Undirected,Третий жилец,1
Иван Бабичев,Undirected,Футболисты,1
Иван Бабичев,Undirected,Хозяйка,1
Иван Бабичев,Undirected,Шапиро,1
Кавалеров,Undirected,Соломон Шапиро,1
Лизавета Ивановна,Undirected,Молодой человек,1
Лизавета Ивановна,Undirected,Муж,1
Лизавета Ивановна,Undirected,Первый жилец,1
Лизавета Ивановна,Undirected,Третий жилец,1
Менее пьяный гость,Undirected,Михал Михалыч,2
Менее пьяный гость,Undirected,Немец Харман,1
Менее пьяный гость,Undirected,Николай Кавалеров,2
Менее пьяный гость,Undirected,Почтенный старик,2
Менее пьяный гость,Undirected,Представители союза пищевиков,1
Менее пьяный гость,Undirected,Сильно пьяный гость,2
Менее пьяный гость,Undirected,Футболисты,1
Менее пьяный гость,Undirected,Хозяйка,1
Менее пьяный гость,Undirected,Шапиро,1
Михал Михалыч,Undirected,Немец Харман,1
Михал Михалыч,Undirected,Николай Кавалеров,2
Михал Михалыч,Undirected,Почтенный старик,2
Михал Михалыч,Undirected,Представители союза пищевиков,1
Михал Михалыч,Undirected,Сильно пьяный гость,2
Михал Михалыч,Undirected,Футболисты,1
Михал Михалыч,Undirected,Хозяйка,1
Михал Михалыч,Undirected,Шапиро,1
Молодой человек,Undirected,Муж,1
Молодой человек,Undirected,Первый жилец,1
Молодой человек,Undirected,Третий жилец,1
Муж,Undirected,Первый жилец,1
Муж,Undirected,Третий жилец,1
Немец Харман,Undirected,Николай Кавалеров,1
Немец Харман,Undirected,Почтенный старик,1
Немец Харман,Undirected,Представители союза пищевиков,1
Немец Харман,Undirected,Сильно пьяный гость,1
Немец Харман,Undirected,Футболисты,1
Немец Харман,Undirected,Шапиро,1
Николай Кавалеров,Undirected,Почтенный старик,2
Николай Кавалеров,Undirected,Представители союза пищевиков,1
Николай Кавалеров,Undirected,Сильно пьяный гость,2
Николай Кавалеров,Undirected,Футболисты,1
Николай Кавалеров,Undirected,Хозяйка,1
Николай Кавалеров,Undirected,Шапиро,1
Первый жилец,Undirected,Третий жилец,1
Почтенный старик,Undirected,Представители союза пищевиков,1
Почтенный старик,Undirected,Сильно пьяный гость,2
Почтенный старик,Undirected,Футболисты,1
Почтенный старик,Undirected,Хозяйка,1
Почтенный старик,Undirected,Шапиро,1
Представители союза пищевиков,Undirected,Сильно пьяный гость,1
Представители союза пищевиков,Undirected,Футболисты,1
Представители союза пищевиков,Undirected,Шапиро,1
Сильно пьяный гость,Undirected,Футболисты,1
Сильно пьяный гость,Undirected,Хозяйка,1
Сильно пьяный гость,Undirected,Шапиро,1
Футболисты,Undirected,Шапиро,1
